code  , name    , signal_date, close  , ma20                 , ma60                 , ma120                , ma20_slope_5           , ma60_slope_10          , ret10                 , ret20                 , ret60                 , amount_ma5   , amount_ma20   , amount_ratio_5_20  , turnover_ma5         , turnover_ma20        , high20 , high60 , is_20d_high, is_60d_high, dist_to_60d_high      , max_dd20             , up_down_amount_ratio20, limit_up_count_5, heavy_bearish_candle, bench_ret20         , bench_ret60         , ret20_rank_pct        , ret60_rank_pct        , basic_liquid, trend_basic, relative_strength, volume_ok, near_breakout, risk_ok, candidate, score, status
002613, 北玻股份, 2026-06-08 ,    5.46,    4.461             ,    4.105666666666667 ,    3.9999166666666666, 0.037080088341276296   , 0.027572685938347385   , 0.1895424836601307    , 0.2697674418604652    , 0.3125                ,   507486980.2,   406109969.95, 1.2496294544615132 , 0.13705707420301397  , 0.11542787782928902  ,    5.46,    5.46, True       , True       , 0.0                   , -0.09959349593495936 ,    1.0105935955927021 ,              2.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9783765801729873    , 0.9494344644045243    , True        , True       , True             , True     , True         , True   , True     ,    98, 强趋势池
601588, 北辰实业, 2026-06-08 ,    2.22,    1.9914999999999998,    1.8885            ,    1.8446666666666665, 0.005554152991668726   , 0.015777678171223775   , 0.13265306122448983   , 0.05213270142180115   , 0.19354838709677424   ,   197058822.2,   162383030.65, 1.213543197286052  , 0.035649690075187944 , 0.03033799889097742  ,    2.22,    2.28, True       , False      , -0.02631578947368407  , -0.16113744075829373 ,    1.2181041883641275 ,              1.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9121756487025948    , 0.9218230206254159    , True        , True       , True             , True     , True         , True   , True     ,    90, 强趋势池
605018, 长华集团, 2026-06-08 ,   17.97,   14.386500000000002 ,   12.647833333333333 ,   12.090833333333334 , 0.06542990446567432    , 0.041002496639139574   , 0.22161794697484694   , 0.36550151975683876   , 0.49625312239800157   ,   418168257.0,   208463942.0 , 2.0059500601787525 , 0.05380221147042702  , 0.02942493509626636  ,   18.18,   18.18, False      , False      , -0.011551155115511635 , -0.07749830047586681 ,    3.189312307405128  ,              1.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9876912840984697    , 0.9683965402528277    , True        , True       , True             , True     , True         , True   , True     ,    87, 强趋势池
002463, 沪电股份, 2026-06-08 ,  137.0 ,  120.15600000000002  ,  100.03833333333334  ,   86.15358333333332  , 0.06218065451459509    , 0.09913714172703503    , 0.11800228496817367   , 0.26058152373941845   , 0.7957792633372656    , 13681797791.6, 10481059398.9 , 1.3053830982997694 , 0.05325777893641044  , 0.04440103006594479  ,  142.78,  142.78, False      , False      , -0.04048186020451039  , -0.08864807248179074 ,    1.392812157966486  ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.97771124417831      , 0.9843646041250832    , True        , True       , True             , True     , True         , True   , True     ,    86, 强趋势池
600985, 淮北矿业, 2026-06-08 ,   16.73,   14.261500000000002 ,   13.861166666666666 ,   12.892083333333334 , 0.042012201804698224   , 0.023404909862794643   , 0.20186781609195403   , 0.2475764354958987    , 0.25037369207772797   ,   810096596.8,   492645529.5 , 1.6443802862114472 , 0.01832495253243786  , 0.01223497009027953  ,   17.51,   17.51, False      , False      , -0.04454597372929758  , -0.05803571428571419 ,    1.9488373939965378 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9753825681969395    , 0.9357950765136394    , True        , True       , True             , True     , True         , True   , True     ,    86, 强趋势池
603078, 江化微  , 2026-06-08 ,   42.79,   34.056             ,   26.971333333333334 ,   24.374499999999998 , 0.09755390118920992    , 0.0779263167009705     , 0.23634787633631893   , 0.4977248862443122    , 0.7881320518178019    ,  2147487128.2,  1601026030.85, 1.3413193082562678 , 0.14373842020571617  , 0.11944234455796132  ,   44.95,   44.95, False      , False      , -0.0480533926585095   , -0.08750000000000013 ,    1.8219109444530726 ,              1.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9923486360612109    , 0.9833666001330672    , True        , True       , True             , True     , True         , True   , True     ,    86, 强趋势池
603608, 天创时尚, 2026-06-08 ,   21.35,   17.6675            ,   13.464             ,   11.648833333333334 , 0.10740253228030605    , 0.10546409951147417    , 0.2291306850892343    , 0.5014064697609002    , 0.7329545454545456    ,   779822078.2,   601702260.3 , 1.2960265062178629 , 0.09222081381638145  , 0.08046584671241382  ,   22.26,   22.26, False      , False      , -0.04088050314465408  , -0.04552590266875989 ,    1.9503970432749025 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9936793080505656    , 0.980705256154358     , True        , True       , True             , True     , True         , True   , True     ,    86, 强趋势池
600522, 中天科技, 2026-06-08 ,   49.53,   43.3225            ,   34.91016666666667  ,   28.000166666666665 , 0.04634873863320754    , 0.07670994869896886    , 0.15481464210771745   , 0.12927496580027364   , 0.7138408304498272    , 19342482278.4, 14742712221.2 , 1.3120029739565517 , 0.12301675864276707  , 0.09875276314213845  ,   50.68,   50.68, False      , False      , -0.02269139700078926  , -0.14005725611098874 ,    2.526608038568137  ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.947771124417831     , 0.9800399201596807    , True        , True       , True             , True     , True         , True   , True     ,    85, 强趋势池
600971, 恒源煤电, 2026-06-08 ,    8.19,    7.6385000000000005,    7.487166666666667 ,    6.97475           , 0.014274332757933772   , 0.014750395301558639   , 0.125                 , 0.06501950585175531   , 0.1502808988764044    ,   279239784.2,   180457612.8 , 1.5473981943309845 , 0.028245733373198485 , 0.019047947266521245 ,    8.62,    8.62, False      , False      , -0.04988399071925753  , -0.07874015748031504 ,    1.0475032518485716 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9218230206254159    , 0.9048569527611444    , True        , True       , True             , True     , True         , True   , True     ,    84, 趋势观察池
603045, 福达合金, 2026-06-08 ,   89.83,   71.4745            ,   47.602             ,   36.11541666666667  , 0.08612305681766408    , 0.17065133188784198    , 0.34034616532378403   , 0.3167692758721783    , 1.5724513172966779    ,  1583947160.8,  1288962068.9 , 1.2288547498932534 , 0.14890750429574237  , 0.13226892981147975  ,   91.09,   91.09, False      , False      , -0.013832473377977883 , -0.19332207353514352 ,    2.0653767461560597 ,              1.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9846972721224219    , 0.9970059880239521    , True        , True       , True             , True     , True         , True   , True     ,    83, 趋势观察池
