code,name,industry,signal_date,close,ma5,ma10,ma20,ma60,ma120,ma5_slope_3,ma10_slope_5,ma20_slope_5,ma60_slope_10,ret5,ret10,ret20,ret60,amount_ma5,amount_ma10,amount_ma20,amount_ratio_5_20,turnover_ma5,turnover_ma20,high20,high60,is_20d_high,is_60d_high,dist_to_60d_high,max_dd20,atr20,atr20_pct,up_down_amount_ratio20,limit_up_count_5,heavy_bearish_candle,short_term_strong,pullback_rebound,bench_ret20,bench_ret60,market_ok,market_state,ret20_rank_pct,ret60_rank_pct,industry_ret20,industry_ret60,industry_ret20_rank_pct,industry_ret60_rank_pct,industry_count,industry_strong,basic_liquid,trend_basic,relative_strength,volume_ok,near_breakout,risk_ok,short_term_ok,candidate,score,trend_confirmed_by_score,status,score_trend_status,score_now,score_3d_ago,score_5d_ago,score_change_3d,score_change_5d,score_ma3,score_ma5,score_min5,score_max5,status_5d_ago,status_changed
002203,海亮股份,,2026-06-18,25.52,24.29,21.793,21.0085,18.599666666666668,16.232583333333334,0.1269369954532802,0.10883280757097791,0.043382170350136695,0.07793951453216019,0.19755983106522756,0.3093894304771678,0.276,0.901639344262295,2756200140.0,1721399114.0,1363344185.45,2.02164660209429,0.05159136552413366,0.028177902276637967,25.52,25.52,True,True,0.0,-0.16433239962651736,1.6635000000000002,0.06518416927899687,1.068020949629544,2.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9543941411451398,0.9690412782956058,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,强趋势延续,100.0,96.0,62.0,4.0,16.0,95.0,93.0,84.0,100.0,市场环境弱观察,True
002281,光迅科技,,2026-06-18,266.2,233.73000000000002,222.144,217.67649999999998,162.11933333333334,118.21733333333334,0.11442221501726002,0.047498243512785754,0.018164766853919545,0.16307121317559736,0.2960077896786757,0.20692782009430544,0.22503451449608813,2.2041405873856523,11461624655.2,11596605554.7,12820597123.45,0.8940008444876316,0.06414884835895605,0.07571871066455335,266.2,266.2,True,True,0.0,-0.10976359961332283,16.603499999999997,0.062372276483846724,1.7357913100977445,2.0,False,True,False,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9427430093209055,0.9966711051930759,,,,,,True,True,True,True,False,True,True,True,False,100,True,短中线转强池,趋势转强,100.0,83.0,65.0,17.0,33.0,92.33333333333333,85.4,67.0,100.0,市场环境弱观察,True
002353,杰瑞股份,,2026-06-18,164.22,154.82999999999998,151.328,146.838,129.4785,110.19800000000001,0.044736842105263186,0.02831592609454958,0.03251437973757865,0.06222209460678951,0.13247362250879258,0.04852509258076876,0.24061343204653607,0.7156289176765567,3249352173.8,3659061052.3,3307762578.15,0.9823414156941492,0.0302665887925814,0.03253585452674013,172.77,172.77,False,False,-0.04948775829137009,-0.07546928872430081,10.45,0.06363414931189867,1.247348296413157,0.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9467376830892144,0.9567243675099867,,,,,,True,True,True,True,False,True,True,True,False,100,True,短中线转强池,强趋势延续,100.0,93.0,81.0,7.0,21.0,97.0,92.6,79.0,100.0,市场环境弱观察,True
002409,雅克科技,,2026-06-18,150.16,141.532,129.70499999999998,122.52550000000001,100.56750000000001,93.99600000000001,0.10470035436082381,0.13482654534319072,0.05932727264867488,0.07416367598051798,0.11386395667977145,0.27491934114450656,0.32218015320947435,0.8130886259357644,5959826620.8,4905919056.9,4203116672.75,1.4179541242429101,0.13365533105866373,0.1060769548430398,151.6,151.6,False,False,-0.009498680738786236,-0.17835341994052278,9.610999999999999,0.06400506126798082,1.2604201168616862,0.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9623834886817576,0.96271637816245,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,强趋势延续,100.0,100.0,90.0,0.0,17.0,98.66666666666667,95.8,83.0,100.0,市场环境弱观察,True
002428,云南锗业,,2026-06-18,100.44,98.93,91.192,89.013,75.02666666666667,56.13425,0.10689670605084145,0.06722217020878185,0.027406984192939854,0.12025801570790096,0.13825929283771532,0.13350637625550155,0.19856801909307875,1.3110906580763921,11163196230.2,9024620697.0,8531468650.6,1.3084729824817345,0.1736654017918241,0.14550947530619018,108.66,108.66,False,False,-0.07564881281060187,-0.13753016012283403,7.139999999999999,0.07108721624850656,1.423826841117483,1.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.936750998668442,0.9853528628495339,,,,,,True,True,True,True,True,False,True,True,False,100,True,短中线转强池,趋势转强,100.0,98.0,56.0,2.0,32.0,96.33333333333333,91.0,68.0,100.0,市场环境弱观察,True
002436,兴森科技,,2026-06-18,52.06,44.370000000000005,40.893,39.7015,30.929333333333332,27.000083333333333,0.16720155732098707,0.0558754421751142,0.07768835081909375,0.1041064267780436,0.41659863945578235,0.2737949596280893,0.5652435357787133,1.4046189376443419,9264633492.0,7438004053.7,7656235296.5,1.2100769024477696,0.13848007017127908,0.12626158237287485,52.58,52.58,False,False,-0.009889691898059993,-0.1295594504973946,3.344000000000001,0.06423357664233578,1.5636804692675315,1.0,False,True,False,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.987017310252996,0.9890146471371505,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,趋势转强,100.0,81.0,65.0,19.0,27.0,100.0,90.8,73.0,100.0,市场环境弱观察,True
002491,通鼎互联,,2026-06-18,31.58,26.65,25.812,24.702499999999997,19.380499999999998,13.859250000000001,0.09391675560298807,0.03950706777818058,0.036483027734653506,0.14723902169516268,0.312551953449709,0.17704062616474103,0.45262189512419515,2.1802618328298085,4376552254.8,4908591925.9,4666673405.15,0.9378312718370584,0.1450426018114337,0.1610792259967922,31.58,31.58,True,True,0.0,-0.15281401416325002,2.4875,0.07876820772640912,1.5648079778061375,2.0,False,True,False,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9813581890812251,0.9963382157123835,,,,,,True,True,True,True,False,True,True,True,False,100,True,短中线转强池,趋势转强,100.0,73.0,75.0,27.0,32.0,92.0,83.4,68.0,100.0,市场环境弱观察,True
002700,万憬能源,,2026-06-18,8.98,8.802000000000001,8.675,8.065000000000001,7.230166666666666,7.1685,0.02923292797006538,0.05960669353853665,0.05708106691133108,0.040112208688980466,0.0665083135391924,0.08192771084337336,0.30903790087463556,0.33234421364985156,207730952.8,227429627.8,196539349.65,1.056943320357629,0.1094474338484003,0.11090455754373274,9.61,9.61,False,False,-0.06555671175858468,-0.09346846846846846,0.5984999999999998,0.0666481069042316,2.574284429149311,1.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9603861517976032,0.9054593874833555,,,,,,True,True,True,True,False,False,True,True,False,100,True,短中线转强池,强趋势延续,100.0,92.0,81.0,8.0,20.0,99.0,93.8,80.0,100.0,市场环境弱观察,True
002805,丰元股份,,2026-06-18,26.88,23.752,22.014000000000003,21.8035,20.557166666666667,18.780666666666665,0.14137433925997112,0.06466121777820777,0.0010789715335171035,0.037760296159185414,0.3189401373895977,0.3131411822178798,0.1748251748251748,0.6500920810313076,751204682.2,494981508.4,392758975.9,1.9126353012776558,0.114543607679403,0.06315189038501819,26.88,27.3,True,False,-0.015384615384615441,-0.15453767123287665,1.1949999999999996,0.044456845238095226,2.2719479884506617,2.0,False,True,False,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9297603195739015,0.9540612516644474,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,趋势转强,100.0,65.0,47.0,35.0,53.0,89.33333333333333,76.0,47.0,100.0,市场环境弱观察,True
002815,崇达技术,,2026-06-18,19.72,19.046,18.368000000000002,17.5855,15.744166666666667,15.211583333333333,0.06402234636871507,0.06283994907996782,0.054602698650674686,0.031896881315200076,0.11223914269599544,0.10724312184166207,0.323489932885906,0.34240980258679365,2001366441.6,1920283197.7,1685510213.5,1.1873950247053782,0.13512426288665427,0.12251634010872041,20.7,20.7,False,False,-0.047342995169082136,-0.06078860898138028,1.2189999999999999,0.06181541582150101,1.5891406187171322,1.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9630492676431425,0.9101198402130493,,,,,,True,True,True,True,False,True,True,True,False,100,True,短中线转强池,强趋势延续,100.0,100.0,99.0,0.0,19.0,100.0,96.2,81.0,100.0,市场环境弱观察,True
