code,name,industry,signal_date,close,ma5,ma10,ma20,ma60,ma120,ma5_slope_3,ma10_slope_5,ma20_slope_5,ma60_slope_10,ret5,ret10,ret20,ret60,amount_ma5,amount_ma10,amount_ma20,amount_ratio_5_20,turnover_ma5,turnover_ma20,high20,high60,is_20d_high,is_60d_high,dist_to_60d_high,max_dd20,atr20,atr20_pct,up_down_amount_ratio20,limit_up_count_5,heavy_bearish_candle,short_term_strong,pullback_rebound,bench_ret20,bench_ret60,market_ok,market_state,ret20_rank_pct,ret60_rank_pct,industry_ret20,industry_ret60,industry_ret20_rank_pct,industry_ret60_rank_pct,industry_count,industry_strong,basic_liquid,trend_basic,relative_strength,volume_ok,near_breakout,risk_ok,short_term_ok,candidate,score,trend_confirmed_by_score,status,score_trend_status,score_now,score_1d_ago,score_3d_ago,score_5d_ago,score_change_1d,score_change_3d,score_change_5d,score_ma3,score_ma5,score_min5,score_max5,score_rise_days_5,score_momentum,status_5d_ago,status_changed
000571,新大洲A,,2026-06-23,6.41,5.674,5.5440000000000005,5.569000000000001,5.638833333333333,6.1045,0.06214900786222377,0.010388190267905939,-0.0072198948212851555,-0.03760489261840427,0.209433962264151,0.23032629558541262,0.11672473867595823,0.042276422764227606,259975490.0,196152184.4,160540639.95,1.6193749450666746,0.054622651336379544,0.034822891228127886,6.41,6.41,True,True,0.0,-0.10327022375215145,0.36050000000000015,0.05624024960998442,1.3290699450443673,2.0,False,False,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9165558510638298,0.7430186170212766,,,,,,True,True,False,True,True,True,True,False,False,71,False,市场环境弱观察,趋势转强,71.0,42.0,24.0,22.0,29.0,47.0,49.0,45.0,36.6,22.0,71.0,2.0,49.400000000000006,跌破MA60剔除,True
600851,海欣股份,,2026-06-23,9.72,8.304,7.775999999999999,7.7575,8.064166666666667,7.934083333333334,0.12520325203252036,0.05810314328480071,0.019784409096884392,-0.011804832220247974,0.2874172185430466,0.3728813559322035,0.21500000000000008,0.30645161290322576,216183320.4,127930896.2,125196404.65,1.7267534239850073,0.03319383823577398,0.020620371524695133,9.72,9.72,True,True,0.0,-0.13235294117647056,0.4305,0.04429012345679012,3.320400148394729,3.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9537898936170213,0.8914561170212766,,,,,,True,True,False,True,True,True,True,True,False,89,False,市场环境弱观察,趋势转强,89.0,88.0,36.0,44.0,1.0,53.0,45.0,80.33333333333333,65.2,36.0,89.0,3.0,46.800000000000004,跌破MA60剔除,True
000955,欣龙控股,,2026-06-23,5.05,4.739999999999999,4.385,4.3149999999999995,4.735166666666667,5.231750000000001,0.1345141215892771,0.07160312805474067,0.00923868553385554,-0.02531819273388436,0.26249999999999996,0.24078624078624067,0.1348314606741572,0.0348360655737705,178091682.0,109920317.2,86103814.05,2.0683367393758325,0.07074199442099535,0.036067376709130315,5.15,5.28,False,False,-0.04356060606060619,-0.10337078651685394,0.2614999999999999,0.051782178217821766,1.4550967180276064,1.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9258643617021277,0.7330452127659575,,,,,,True,True,False,True,True,True,True,True,False,71,False,市场环境弱观察,趋势转强,71.0,66.0,46.0,21.0,5.0,25.0,50.0,67.33333333333333,54.6,25.0,71.0,4.0,43.75,流动性不足,True
002326,永太科技,,2026-06-23,25.05,23.588,22.847,22.2755,23.264000000000003,24.13775,0.06704062245544185,0.036709320264996625,0.006392879732538104,-0.001537922302734418,0.1443581544084056,0.08300907911802868,0.10206775186977568,0.14802933088909254,1397828835.8,1125780364.6,926257057.85,1.5091154490575198,0.07334591920583863,0.0508151656614144,25.47,27.7,False,False,-0.095667870036101,-0.0652831820146994,1.2779999999999998,0.05101796407185628,1.431150067512252,0.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9092420212765957,0.8221409574468085,,,,,,True,True,False,True,True,False,True,True,False,71,False,市场环境弱观察,趋势转强,71.0,65.0,47.0,24.0,6.0,24.0,47.0,61.666666666666664,54.2,39.0,71.0,4.0,41.949999999999996,跌破MA60剔除,True
001282,三联锻造,,2026-06-23,22.63,21.468,19.352999999999998,18.7815,20.116833333333332,20.95975,0.1654723127035831,0.10525414049114801,0.008890201976794243,-0.01907385735647882,0.2621305075292806,0.28945868945868924,0.0990772219524041,0.1563617782319877,223760919.2,127979058.5,89374638.5,2.503628802929368,0.06878953847120871,0.02929244103211473,23.09,23.32,False,False,-0.029588336192109876,-0.1549722362443211,1.0730000000000002,0.04741493592576227,1.5360051442848974,1.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9079122340425532,0.8261303191489362,,,,,,True,True,False,True,True,True,True,True,False,72,False,市场环境弱观察,趋势转强,72.0,66.0,54.0,22.0,6.0,18.0,50.0,67.0,56.6,28.0,72.0,4.0,41.800000000000004,流动性不足,True
603757,大元泵业,,2026-06-23,67.84,58.66600000000001,53.90599999999999,54.876,53.841166666666666,48.94616666666666,0.16474745870393925,0.026565862390736994,-0.019423547701159727,0.022313573589539004,0.34363240245593185,0.3063739649528212,0.11304347826086958,0.5642148950887713,830537136.6,669650066.3,739006937.75,1.1238556692426667,0.07851228304565974,0.07136803253699907,67.84,67.84,True,True,0.0,-0.21568956828489838,4.692500000000001,0.06917010613207548,1.515468615426272,2.0,False,False,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9148936170212766,0.9401595744680851,,,,,,True,True,False,True,False,True,False,False,False,89,False,市场环境弱观察,趋势转强,89.0,67.0,50.0,52.0,22.0,39.0,37.0,73.33333333333333,64.4,50.0,89.0,3.0,41.349999999999994,跌破MA60剔除,True
600703,三安光电,,2026-06-23,19.83,18.131999999999998,16.802,16.461,14.885333333333334,15.240833333333333,0.15505159892980003,0.060397601767118836,0.028202005059495994,0.0011097037427281187,0.2952318745917699,0.20547112462006067,0.2293862368257904,0.431768953068592,7449727621.4,6362523695.6,5705448571.25,1.3057216322901404,0.08220607667404325,0.06846303875379296,20.52,20.52,False,False,-0.033625730994152114,-0.19537572254335267,1.2340000000000002,0.062228946041351506,1.6868797639410789,2.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9571143617021277,0.9205452127659575,,,,,,True,True,False,True,True,True,True,True,False,85,True,市场环境弱观察,趋势转强,85.0,92.0,63.0,31.0,-7.0,22.0,54.0,83.0,73.6,56.0,92.0,3.0,41.25000000000001,跌破MA20观察,True
605178,时空科技,,2026-06-23,72.9,66.90400000000001,65.13000000000001,64.915,69.19233333333334,66.376,0.06589344889115467,0.027984279558691316,-0.002887731748152933,-0.005564378396893832,0.16490891658676898,0.15074980268350435,0.1020408163265305,0.10672536814938516,253254804.6,191586222.1,212006883.1,1.1945593506062917,0.03762928946306013,0.032750047436414964,75.68,89.39,False,False,-0.18447253607786096,-0.12573964497041412,4.2139999999999995,0.05780521262002743,2.0726596239579926,0.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9089095744680851,0.7965425531914894,,,,,,True,True,False,True,False,False,True,True,False,67,False,市场环境弱观察,趋势修复,67.0,63.0,33.0,27.0,4.0,34.0,40.0,59.333333333333336,48.0,29.0,67.0,4.0,40.800000000000004,跌破MA60剔除,True
603318,水发燃气,,2026-06-23,11.69,10.398,9.72,9.4155,9.723666666666666,8.629583333333333,0.09845763786182138,0.07296611104978501,0.005875754500293651,0.023113075196408595,0.3329532497149372,0.3344748858447488,0.2076446280991735,0.4449938195302843,855224406.2,729503698.7,522820406.25,1.635790026510657,0.18148138260222288,0.11919517690909125,11.69,15.1,True,False,-0.2258278145695365,-0.1096446700507614,0.6455,0.05521813515825492,1.625153970154236,2.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9511303191489362,0.9238696808510638,,,,,,True,True,False,True,True,True,True,True,False,86,False,市场环境弱观察,趋势转强,86.0,81.0,61.0,42.0,5.0,25.0,44.0,80.0,72.2,60.0,86.0,4.0,40.45,跌破MA60剔除,True
002734,利民股份,,2026-06-23,19.1,17.800000000000004,16.557,16.636000000000003,16.942666666666668,17.63975,0.13796189745556853,0.028385093167701658,0.020019007327018112,-0.02768983558263416,0.2818791946308725,0.17538461538461547,0.15687462144155062,0.1308466548253404,612388651.6,411672055.2,319608716.25,1.9160574179115493,0.07996455496938788,0.04346698740343506,19.58,19.58,False,False,-0.02451481103166475,-0.14021927293710323,0.7689999999999997,0.04026178010471202,2.4264949376038296,2.0,False,False,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9355053191489362,0.8121675531914894,,,,,,True,True,False,True,True,True,True,False,False,69,False,市场环境弱观察,趋势修复,69.0,77.0,46.0,23.0,-8.0,23.0,46.0,71.33333333333333,60.2,41.0,77.0,3.0,37.0,跌破MA60剔除,True
002068,黑猫股份,,2026-06-23,12.65,10.836,10.492,10.327,9.504833333333332,9.365583333333332,0.0894832093303839,0.020424042015172228,0.011855771115030445,0.01855688515806353,0.2537165510406343,0.22815533980582514,0.20132953466286807,0.4970414201183433,686667411.4,517944820.9,428917376.65,1.600931668385928,0.0829161581268488,0.05487207619001836,12.65,12.65,True,True,0.0,-0.11710037174721188,0.7379999999999999,0.05833992094861659,1.6848476523341693,3.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9488031914893617,0.9331781914893617,,,,,,True,True,True,True,True,True,True,True,False,100,True,市场环境弱观察,趋势转强,100.0,100.0,52.0,67.0,0.0,48.0,33.0,92.0,80.0,52.0,100.0,2.0,36.55,跌破MA20观察,True
600400,红豆股份,,2026-06-23,3.26,2.86,2.741,2.813,2.561,2.4565,0.08169440242057502,0.014433752775721675,-0.01986062717770032,0.035933391761612477,0.23484848484848464,0.22097378277153545,0.055016181229773364,0.5450236966824644,234854350.0,165810534.4,175353494.15,1.339319476571719,0.035533489742807525,0.02675783295342667,3.26,3.3,True,False,-0.012121212121212088,-0.17041800643086813,0.17300000000000004,0.05306748466257671,1.4283925415093361,2.0,False,False,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.8726728723404256,0.9388297872340425,,,,,,True,True,False,True,True,True,True,False,False,88,False,市场环境弱观察,趋势转强,88.0,64.0,54.0,54.0,24.0,34.0,34.0,68.66666666666667,62.8,54.0,88.0,2.0,36.5,跌破MA20观察,True
603042,华脉科技,,2026-06-23,16.79,16.244,15.408000000000001,15.287,16.085833333333333,15.147416666666665,0.08830229130376499,0.0305665172898133,-0.0070475138839272145,0.0009541292015391445,0.14607508532423208,0.13140161725067379,0.025656689065363336,0.13063973063973067,339226421.6,279254250.2,273896617.3,1.2385199384497838,0.10063252368221472,0.08525825057943119,17.43,18.6,False,False,-0.09731182795698934,-0.11857958148382997,0.9770000000000001,0.058189398451459214,1.1901855282975355,1.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.8394281914893617,0.8118351063829787,,,,,,True,True,False,True,True,False,True,True,False,71,False,市场环境弱观察,趋势转强,71.0,59.0,45.0,37.0,12.0,26.0,34.0,62.333333333333336,55.2,44.0,71.0,4.0,36.300000000000004,跌破MA60剔除,True
001287,中电港,,2026-06-23,30.1,28.77,27.318,26.933,26.8435,25.255083333333335,0.09641768292682928,0.03886522665044123,0.009010021541631552,0.023259212198220913,0.13971980310488452,0.18972332015810278,0.0738494470210489,0.2011173184357542,1541253479.2,1179435898.4,1147729427.45,1.342871797427311,0.06954383241775,0.055011725311044354,30.92,31.86,False,False,-0.05524168236032634,-0.09634190510684537,1.7795,0.059119601328903655,1.4009219525860954,0.0,False,True,True,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.890625,0.8497340425531915,,,,,,True,True,True,True,True,False,True,True,False,95,True,市场环境弱观察,趋势转强,95.0,96.0,59.0,56.0,-1.0,36.0,39.0,91.33333333333333,80.0,59.0,96.0,2.0,36.1,跌破MA60剔除,True
002774,快意电梯,,2026-06-23,13.68,12.666,11.860000000000001,11.883500000000002,11.572666666666667,11.196083333333332,0.11202809482001763,0.03934799754622742,0.006351357073294928,0.019049575860753176,0.25160109789569995,0.14957983193277302,0.11038961038961026,0.3141210374639769,165316195.4,112513744.4,99039924.95,1.6691874058210299,0.046520747542878146,0.02898785982526731,13.97,13.97,False,False,-0.020758768790264948,-0.15781250000000013,0.7710000000000001,0.056359649122807026,1.3117982086582443,1.0,False,False,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.913563829787234,0.8932845744680851,,,,,,True,True,True,True,True,True,True,False,False,88,False,市场环境弱观察,趋势转强,88.0,84.0,70.0,48.0,4.0,18.0,40.0,83.0,76.8,65.0,88.0,4.0,36.0,跌破MA60剔除,True
603007,顺景科技,,2026-06-23,6.8,6.032,5.775,5.9245,6.498333333333333,6.2902499999999995,0.07984246330110989,0.0031266284523190357,-0.04796721838341644,-0.026928548254261497,0.15449915110356538,0.20353982300884943,0.044546850998463894,0.06750392464678168,424737313.2,314036036.3,318191587.6,1.3348477136169263,0.10156501894665923,0.07650132807663688,6.8,9.26,True,False,-0.265658747300216,-0.164319248826291,0.38500000000000006,0.05661764705882354,0.7871307024303943,1.0,False,False,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.8626994680851063,0.7652925531914894,,,,,,True,True,False,True,True,True,True,False,False,59,False,市场环境弱观察,震荡无趋势,59.0,39.0,28.0,28.0,20.0,31.0,31.0,42.666666666666664,36.8,28.0,59.0,3.0,35.35,跌破MA60剔除,True
